YearCountry,Country,Year,Gold,Silver,Bronze,Total,Athletes,Population,GDP,Latitude,Longitude,Altitude(meters)
2012Uganda,Uganda,2012,1,0,0,1,237,45560272,16.81,1.533355,32.216658,1058.0
2012Ukraine,Ukraine,2012,6,5,9,20,530,314838000,165.25,49.487197,31.271832,161.0
2012United States,United States,2012,46,29,29,104,54,29123400,15094.0,39.78373,-100.445882,829.0
2012Uzbekistan,Uzbekistan,2012,1,0,3,4,70,28946101,45.36,41.32373,63.95281,306.0
2012Venezuela,Venezuela,2012,1,0,0,1,33,19406100,316.48,8.001871,-66.110932,66.0
2012Vietnam,Vietnam,2012,0,0,1,1,18,87840000,1.95,13.290403,108.426511,399.0
2008 Afghanistan , Afghanistan ,2008,0,0,1,1,2,24485600,11.94,,,
2008 Algeria , Algeria ,2008,0,1,1,2,12,37100000,170.99,,,
2008 Argentina , Argentina ,2008,2,0,4,6,11,40117096,326.68,,,
2008 Armenia , Armenia ,2008,0,1,4,5,2,3268500,11.66,,,
2008 Australia , Australia ,2008,14,15,17,46,40,22880619,1061.58,,,
2008 Austria , Austria ,2008,0,1,2,3,3,8452835,414.17,,,
2008 Azerbaijan , Azerbaijan ,2008,1,1,4,6,2,9111100,48.85,,,
2008 Bahamas , Bahamas ,2008,0,1,1,2,18,353658,8.25,,,
2008 Belarus , Belarus ,2008,3,4,7,14,48,9461400,21.9,,,
2008 Belgium , Belgium ,2008,2,0,0,2,17,10951266,60.76,,,
2008 Brazil , Brazil ,2008,3,4,10,17,41,192376496,507.39,,,
2008 Bulgaria , Bulgaria ,2008,1,1,3,5,15,7364570,1652.82,,,
2008 Cameroon , Cameroon ,2008,1,0,0,1,5,19406100,51.82,,,
2008 Canada , Canada ,2008,3,9,8,20,29,34771400,23.74,,,
2008 Chile , Chile ,2008,0,1,0,1,6,17402630,1502.68,,,
2008 China , China ,2008,48,22,30,100,66,1347350000,179.63,,,
2008 Chinese Taipei , Chinese Taipei ,2008,1,1,2,4,3,23234003,4521.83,,,
